Timestamp,depth,depth_on_road,latitude,longitude,on_road_latitude,on_road_longitude,x,y,w,h
1641503794_202510344,8.194488525,8.194488525,41.68302102,-72.69114458,41.68302102,-72.69114458,407.7367554,168.2312622,18.42621613,183.9104309
1641503795_702502344,49.3763504,48.92743301,41.68261194,-72.69108663,41.68262352,-72.69100658,204.7410583,187.1934967,20.01026535,36.89780426
1641503795_969373344,49.53352356,49.01377869,41.6826022,-72.69109211,41.68261481,-72.69100431,206.9170227,184.9656067,19.67799377,36.72874451
1641503795_969373344,46.02851868,45.50940323,41.68263359,-72.69109719,41.68264574,-72.69101238,208.0735931,185.2823792,18.1912632,42.38196564
1641503796_236001344,44.91539001,44.40335083,41.68263549,-72.69109776,41.68264756,-72.69101285,208.249588,183.8226013,17.66923332,44.37004471
1641503796_302422344,45.62994385,45.13084412,41.6826124,-72.69110438,41.68262223,-72.69102562,207.5778046,182.355484,16.26895714,43.47851944
1641503796_302422344,45.02613068,44.51907349,41.68261781,-72.69110566,41.68262766,-72.69102682,208.049469,181.8438568,17.82538033,44.14464951
1641503796_369701344,46.15988159,45.67374039,41.68260424,-72.69110266,41.68261405,-72.6910238,206.9753265,182.9437866,17.25429726,42.36787796
1641503796_436675344,45.36064911,44.83551407,41.68260799,-72.69110662,41.68261814,-72.69102471,208.5031281,181.5171204,17.31875801,43.68846893
1641503796_502537344,46.24417114,45.71023941,41.6825967,-72.69110632,41.68260708,-72.69102225,208.4588623,181.5037537,18.71067238,41.92204666
1641503796_535986344,45.42021942,44.89294052,41.68260242,-72.69110664,41.68261266,-72.69102349,208.5488434,182.3452606,19.20425987,43.18328476
1641503796_636165344,44.62758636,44.10453796,41.68260446,-72.69110708,41.68261465,-72.69102393,208.7072449,181.3345337,18.39605904,44.70582199
1641503796_702542344,44.06116486,43.54524612,41.68260619,-72.69110707,41.68261629,-72.69102429,208.6914673,180.7867737,17.50964165,45.90378952
1641503796_835963344,42.96635437,42.45483017,41.68260927,-72.69110781,41.68261929,-72.69102496,208.968811,180.6568298,17.17832756,47.9795723
1641503796_902345344,42.65421295,42.12828445,41.6826087,-72.6911093,41.68261887,-72.69102487,209.5618744,180.3784943,16.8408947,48.65150452
1641503796_969288344,42.06286621,41.5438385,41.68261062,-72.69110935,41.6826207,-72.69102528,209.5747681,179.8030396,16.85664558,49.77721024
1641503796_969288344,41.90739441,41.36138535,41.68261201,-72.69111172,41.68262232,-72.69102564,210.5159607,181.2779236,15.95292759,50.32801056
1641503797_035944344,44.3380127,43.77873993,41.68258678,-72.69111012,41.68259754,-72.69102013,209.9524689,180.2833099,17.73802567,45.3599968
1641503797_035944344,41.59860992,41.038414,41.68261141,-72.69111318,41.68262185,-72.69102553,211.100708,181.5084076,18.21186829,50.33041
1641503797_102361344,42.7664566,42.22798157,41.68259754,-72.69111012,41.68260798,-72.69102245,209.9213104,180.4390411,16.88975334,48.4272995
1641503797_102361344,40.68043518,40.13842392,41.6826163,-72.69111271,41.68262651,-72.69102657,210.9105682,181.7825012,17.98573875,52.21572113
1641503797_135850344,40.51215363,39.96419525,41.68261611,-72.69111337,41.68262639,-72.69102654,211.1788177,181.6911316,18.17164993,52.50926971
1641503797_135850344,42.58674622,42.04236984,41.68259746,-72.6911108,41.68260795,-72.69102244,210.1828461,180.2727661,16.78511047,48.79370499
1641503797_235978344,41.13847351,40.58905411,41.6826054,-72.6911128,41.68261583,-72.69102419,210.9528503,181.6556396,17.82349014,51.33729553
1641503797_235978344,41.1497879,40.6362114,41.68260531,-72.69110979,41.68261542,-72.6910241,209.7696838,180.1474457,17.04210472,51.52257538
1641503797_302477344,40.87969208,40.33401871,41.68259575,-72.69109254,41.68260621,-72.69101531,210.9434204,181.3491516,17.8881588,51.83873749
1641503797_302477344,40.54318237,40.0304718,41.6825988,-72.69109051,41.6826089,-72.69101596,209.9964294,179.7505798,16.51594543,52.89976883
1641503797_370822344,39.7335968,39.16860199,41.68260166,-72.69109515,41.68261222,-72.69101676,212.0845642,180.6260376,19.24233246,53.84204865
1641503797_435802344,39.92941284,39.36768723,41.68259574,-72.69109464,41.68260636,-72.69101535,211.8885803,180.8549347,19.3203392,53.41477585
1641503797_503567344,39.80376434,39.25107956,41.68259253,-72.69109406,41.68260312,-72.69101457,211.6509247,181.1157379,19.68626785,53.58525085
1641503797_569394344,39.75283813,39.17921066,41.68258876,-72.69109561,41.68259961,-72.69101372,212.3547211,180.5060883,20.49581528,53.49655914
1641503797_635810344,39.63639069,39.04186249,41.68258555,-72.69109722,41.68259664,-72.69101301,213.0769653,179.9081573,19.96271324,53.8668251
1641503797_702809344,38.72613525,38.14756012,41.68258945,-72.69109708,41.68260033,-72.6910139,213.0023499,180.0092926,20.68432617,55.62611771
1641503797_769423344,38.58369446,37.99951935,41.68258646,-72.69109763,41.68259744,-72.6910132,213.2535706,179.5165405,21.14672661,55.82321548
1641503797_835827344,38.40023804,37.82118607,41.68258386,-72.69109745,41.68259483,-72.69101258,213.1771393,179.5783691,21.61681747,56.11088181
1641503797_902694344,38.12518311,37.49996185,41.68258205,-72.69110117,41.68259346,-72.69101225,214.7957153,178.1412506,23.29835129,56.33152008
1641503797_902694344,37.97329712,37.33921051,41.68258342,-72.69110199,41.68259488,-72.69101259,215.1533203,173.8811493,20.66266632,57.2814064
1641503797_969583344,38.8534317,38.19683075,41.68257122,-72.69110264,41.68258308,-72.69100975,215.3922119,174.1729279,21.98109055,55.049263
1641503797_969583344,36.80232239,36.18024445,41.68258967,-72.69110249,41.68260093,-72.69101404,215.396698,178.2023163,23.9726963,59.14787674
1641503798_035963344,38.38431549,37.73034668,41.68257119,-72.69110303,41.68258302,-72.69100974,215.5552063,173.3539886,21.8787632,56.08465576
1641503798_035963344,36.80261993,36.18061829,41.68258541,-72.69110253,41.68259674,-72.69101303,215.3940735,178.028183,24.1020546,59.1185112
1641503798_102547344,37.39311218,36.75520325,41.68257584,-72.69110305,41.68258746,-72.6910108,215.5813293,173.4706879,22.39102554,58.16350555
1641503798_169176344,37.4054184,36.74821854,41.68257147,-72.69110451,41.68258332,-72.69100981,216.1778564,172.4416199,22.63723183,58.07841873
1641503798_236092344,38.33567047,37.64881134,41.68255883,-72.69110566,41.68257113,-72.69100688,216.5791626,171.1809082,22.01194763,56.15992737
1641503798_302750344,37.9300766,37.25373459,41.68255147,-72.69108154,41.68256333,-72.69099952,216.4805603,170.5039215,22.73335648,56.88564301
1641503798_368988344,36.340065,35.67012787,41.68256074,-72.69108291,41.68257238,-72.69100183,217.1708679,171.7189789,23.22707748,60.39078522
1641503798_439264344,35.91307068,35.24337769,41.68255924,-72.6910834,41.6825709,-72.69100146,217.4109497,171.3835754,23.58017349,61.31681442
1641503798_502859344,35.28044128,34.59514999,41.6825601,-72.69108512,41.68257188,-72.69100171,218.2774963,170.3808899,23.15460205,62.94477844
1641503798_536027344,34.26843262,33.60398483,41.68256668,-72.69108497,41.68257816,-72.69100331,218.2392426,169.6802673,22.91525841,65.52849579
1641503798_636106344,33.00327301,32.33583832,41.68257047,-72.69108669,41.68258189,-72.69100426,219.1514893,169.5305481,24.08260727,68.51988983
1641503798_669020344,33.29093933,32.60656357,41.68256539,-72.69108748,41.68257704,-72.69100303,219.5118256,169.0010986,26.67791939,67.13648224
